MESlike2	MESlike1	AClike	OPClike	NPClike1	NPClike2	G1/S	G2/M
HILPDA	CHI3L1	CST3	BCAN	DLL3	STMN2	RRM2	CCNB1
ADM	ANXA2	S100B	PLP1	DLL1	CD24	PCNA	CDC20
DDIT3	ANXA1	SLC1A3	GPR17	SOX4	RND3	KIAA0101	CCNB2
NDRG1	CD44	HEPN1	FIBIN	TUBB3	HMP19	HIST1H4C	PLK1
HERPUD1	VIM	HOPX	LHFPL3	HES6	TUBB3	MLF1IP	CCNA2
DNAJB9	MT2A	MT3	OLIG1	TAGLN3	MIAT	GMNN	CKAP2
TRIB3	C1S	SPARCL1	PSAT1	NEU4	DCX	RNASEH2A	KNSTRN
ENO2	NAMPT	MLC1	SCRG1	MARCKSL1	NSG1	MELK	RACGAP1
AKAP12	EFEMP1	GFAP	OMG	CD24	ELAVL4	CENPK	CDCA3
SQSTM1	C1R	FABP7	APOD	STMN1	MLLT11	TK1	TROAP
MT1X	SOD2	BCAN	SIRT2	TCF12	DLX6-AS1	TMEM106C	KIF2C
ATF3	IFITM3	PON2	TNR	BEX1	SOX11	CDCA5	AURKA
NAMPT	TIMP1	METTL7B	THY1	OLIG1	NREP	CKS1B	CENPF
NRN1	SPP1	SPARC	PHYHIPL	MAP2	FNBP1L	CDC45	KPNA2
SLC2A1	A2M	GATM	SOX2-OT	FXYD6	TAGLN3	MCM3	KIF20A
BNIP3	S100A11	RAMP1	NKAIN4	PTPRS	STMN4	CENPM	ECT2
LGALS3	MT1X	PMP2	LPPR1	MLLT11	DLX5	AURKB	BUB1
INSIG2	S100A10	AQP4	PTPRZ1	NPPA	SOX4	PKMYT1	CDCA8
IGFBP3	FN1	DBI	VCAN	BCAN	MAP1B	MCM4	BUB1B
PPP1R15A	LGALS1	EDNRB	DBI	MEST	RBFOX2	ASF1B	TACC3
VIM	S100A16	PTPRZ1	PMP2	ASCL1	IGFBPL1	GINS2	TTK
PLOD2	CLIC1	CLU	CNP	BTG2	STMN1	MCM2	TUBA1C
GBE1	MGST1	PMP22	TNS3	DCX	HN1	FEN1	NCAPD2
SLC2A3	RCAN1	ATP1A2	LIMA1	NXPH1	TMEM161B-AS1	RRM1	ARL6IP1
FTL	TAGLN2	S100A16	CA10	HN1	DPYSL3	DUT	KIF4A
WARS	NPC2	HEY1	PCDHGC3	PFN2	SEPT3	RAD51AP1	CKAP2L
ERO1L	SERPING1	PCDHGC3	CNTN1	SCG3	PKIA	MCM7	MZT1
XPOT	C8orf4	TTYH1	SCD5	MYT1	ATP1B1	CCNE2	KIFC1
HSPA5	EMP1	NDRG2	P2RX7	CHD7	DYNC1I1	ZWINT	SPAG5
GDF15	APOE	PRCP	CADM2	GPR56	CD200	NA	ANP32E
ANXA2	CTSB	ATP1B2	TTYH1	TUBA1A	SNAP25	NA	KIF11
EPAS1	C3	AGT	FGF12	PCBP4	PAK3	NA	PSRC1
LDHA	LGALS3	PLTP	TMEM206	ETV1	NDRG4	NA	TUBB4B
P4HA1	MT1E	GPM6B	NEU4	SHD	KIF5A	NA	SMC4
SERTAD1	EMP3	F3	FXYD6	TNR	UCHL1	NA	MXD3
PFKP	SERPINA3	RAB31	RNF13	AMOTL2	ENO2	NA	CDC25B
PGK1	ACTN1	PPAP2B	RTKN	DBN1	KIF5C	NA	OIP5
EGLN3	PRDX6	ANXA5	GPM6B	HIP1	DDAH2	NA	REEP4
SLC6A6	IGFBP7	TSPAN7	LMF1	ABAT	TUBB2A	NA	FOXM1
CA9	SERPINE1	NA	ALCAM	ELAVL4	LBH	NA	TMPO
BNIP3L	PLP2	NA	PGRMC1	LMF1	LOC150568	NA	GPSM2
RPL21	MGP	NA	HRASLS	GRIK2	TCF4	NA	HMGB3
TRAM1	CLIC4	NA	BCAS1	SERINC5	GNG3	NA	ARHGAP11A
UFM1	GFPT2	NA	RAB31	TSPAN13	NFIB	NA	RANGAP1
ASNS	GSN	NA	PLLP	ELMO1	DPYSL5	NA	H2AFZ
GOLT1B	NNMT	NA	FABP5	GLCCI1	CRABP1	NA	NA
ANGPTL4	TUBA1C	NA	NLGN3	SEZ6L	DBN1	NA	NA
SLC39A14	GJA1	NA	SERINC5	LRRN1	NFIX	NA	NA
CDKN1A	TNFRSF1A	NA	EPB41L2	SEZ6	CEP170	NA	NA
HSPA9	WWTR1	NA	GPR37L1	SOX11	BLCAP	NA	NA
